,action,boro,critical_flag,cuisine_description,dba,grade,inspection_date,zipcode
0,Violations were cited in the following area(s).,BRONX,Critical,Bakery,MORRIS PARK BAKE SHOP,,2019-05-16T00:00:00.000,10462
1,Violations were cited in the following area(s).,BRONX,Not Critical,Bakery,MORRIS PARK BAKE SHOP,,2019-05-16T00:00:00.000,10462
2,Violations were cited in the following area(s).,BRONX,Not Critical,Bakery,MORRIS PARK BAKE SHOP,,2019-05-16T00:00:00.000,10462
3,Violations were cited in the following area(s).,BRONX,Not Critical,Bakery,MORRIS PARK BAKE SHOP,A,2018-05-11T00:00:00.000,10462
4,Violations were cited in the following area(s).,BRONX,Not Critical,Bakery,MORRIS PARK BAKE SHOP,A,2018-05-11T00:00:00.000,10462
5,Violations were cited in the following area(s).,BRONX,Critical,Bakery,MORRIS PARK BAKE SHOP,A,2017-05-18T00:00:00.000,10462
6,Violations were cited in the following area(s).,BRONX,Not Critical,Bakery,MORRIS PARK BAKE SHOP,A,2017-05-18T00:00:00.000,10462
7,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,A,2019-03-04T00:00:00.000,11225
8,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2019-03-04T00:00:00.000,11225
9,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2019-03-04T00:00:00.000,11225
10,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,A,2018-03-13T00:00:00.000,11225
11,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2018-03-13T00:00:00.000,11225
12,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2018-03-13T00:00:00.000,11225
13,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,A,2017-10-06T00:00:00.000,11225
14,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2017-10-06T00:00:00.000,11225
15,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,,2017-06-26T00:00:00.000,11225
16,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,A,2016-10-27T00:00:00.000,11225
17,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2016-10-27T00:00:00.000,11225
18,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,,2016-10-03T00:00:00.000,11225
19,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,,2016-10-03T00:00:00.000,11225
20,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,,2016-10-03T00:00:00.000,11225
21,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,,2016-10-03T00:00:00.000,11225
22,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,,2016-10-03T00:00:00.000,11225
23,Violations were cited in the following area(s).,BROOKLYN,Critical,Hamburgers,WENDY'S,A,2016-04-30T00:00:00.000,11225
24,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2016-04-30T00:00:00.000,11225
25,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2016-04-30T00:00:00.000,11225
26,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,A,2016-04-30T00:00:00.000,11225
27,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,,2016-04-30T00:00:00.000,11225
28,Violations were cited in the following area(s).,BROOKLYN,Not Critical,Hamburgers,WENDY'S,,2016-04-30T00:00:00.000,11225
29,No violations were recorded at the time of this inspection.,BROOKLYN,Not Applicable,Hamburgers,WENDY'S,,2016-04-12T00:00:00.000,11225
30,Violations were cited in the following area(s).,MANHATTAN,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2019-06-06T00:00:00.000,10019
31,Violations were cited in the following area(s).,MANHATTAN,Not Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2019-06-06T00:00:00.000,10019
32,Violations were cited in the following area(s).,MANHATTAN,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2018-05-16T00:00:00.000,10019
33,Violations were cited in the following area(s).,MANHATTAN,Not Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2018-05-16T00:00:00.000,10019
34,Violations were cited in the following area(s).,MANHATTAN,Not Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2018-05-16T00:00:00.000,10019
35,Violations were cited in the following area(s).,MANHATTAN,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2017-12-14T00:00:00.000,10019
36,Violations were cited in the following area(s).,MANHATTAN,Not Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2017-12-14T00:00:00.000,10019
37,Violations were cited in the following area(s).,MANHATTAN,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,,2017-07-27T00:00:00.000,10019
38,Violations were cited in the following area(s).,MANHATTAN,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,,2017-07-27T00:00:00.000,10019
39,Violations were cited in the following area(s).,BROOKLYN,Critical,American,RIVIERA CATERERS,A,2018-10-30T00:00:00.000,11224
40,Violations were cited in the following area(s).,BROOKLYN,Not Critical,American,RIVIERA CATERERS,A,2018-10-30T00:00:00.000,11224
41,Violations were cited in the following area(s).,BROOKLYN,Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00.000,11224
42,Violations were cited in the following area(s).,BROOKLYN,Not Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00.000,11224
43,Violations were cited in the following area(s).,BROOKLYN,Not Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00.000,11224
44,Violations were cited in the following area(s).,BROOKLYN,Not Critical,American,RIVIERA CATERERS,,2017-07-20T00:00:00.000,11224
45,Violations were cited in the following area(s).,BROOKLYN,Critical,American,RIVIERA CATERERS,A,2016-05-16T00:00:00.000,11224
46,Violations were cited in the following area(s).,BROOKLYN,Not Critical,American,RIVIERA CATERERS,A,2016-05-16T00:00:00.000,11224
47,Violations were cited in the following area(s).,QUEENS,Critical,American,BRUNOS ON THE BOULEVARD,,2018-10-06T00:00:00.000,11369
48,Violations were cited in the following area(s).,QUEENS,Critical,American,BRUNOS ON THE BOULEVARD,,2018-10-06T00:00:00.000,11369
49,Violations were cited in the following area(s).,QUEENS,Not Critical,American,BRUNOS ON THE BOULEVARD,,2018-10-06T00:00:00.000,11369
50,Violations were cited in the following area(s).,QUEENS,Critical,American,BRUNOS ON THE BOULEVARD,A,2017-08-19T00:00:00.000,11369
51,Violations were cited in the following area(s).,QUEENS,Not Critical,American,BRUNOS ON THE BOULEVARD,A,2017-08-19T00:00:00.000,11369
52,Violations were cited in the following area(s).,QUEENS,Not Critical,American,BRUNOS ON THE BOULEVARD,,2017-08-19T00:00:00.000,11369
53,Violations were cited in the following area(s).,QUEENS,Critical,American,BRUNOS ON THE BOULEVARD,A,2016-05-14T00:00:00.000,11369
54,Violations were cited in the following area(s).,QUEENS,Not Critical,American,BRUNOS ON THE BOULEVARD,A,2016-05-14T00:00:00.000,11369
